cell_id,table_group,claim_id,inference_family_id,strategy,weight_vector,capacity_ratio,blackout_policy,approver_policy,label_source,epss_era,catalog_strictness,ablation,n_seeds,t0_window_set,reuse_of_cell_id,run_status,rationale,primary_metric,secondary_metrics,diagnostic_metrics
P-proposed-w_kev_dominant,primary,CLM-B1+CLM-C1,B1+C1,proposed_fixed_prior,w_kev_dominant,0.01,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,30,monthly_18_2023_09_to_2025_02,,planned,fixed-prior cell #5 at central settings; CLM-C1,ehd_absolute,eehda_relative;fraction_of_oracle;rank_churn;capacity_efficiency;scheduler_feasibility,precision_at_k;recall_at_k;ndcg_at_k;kev_deadline_breach_rate;risk_acceptance_rate;imputation_rate
P-proposed-w_context_dominant,primary,CLM-B1+CLM-C1,B1+C1,proposed_fixed_prior,w_context_dominant,0.01,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,30,monthly_18_2023_09_to_2025_02,,planned,fixed-prior cell #6 at central settings; CLM-C1 + reused across capacity / blackout / ablation tables,ehd_absolute,eehda_relative;fraction_of_oracle;rank_churn;capacity_efficiency;scheduler_feasibility,precision_at_k;recall_at_k;ndcg_at_k;kev_deadline_breach_rate;risk_acceptance_rate;imputation_rate
CAP-epss_only-cap0005,capacity_sensitivity,CLM-C2,C2,epss_only,na,0.005,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,30,monthly_18_2023_09_to_2025_02,,planned,capacity sweep at 0.005,ehd_absolute,eehda_relative;rank_churn;capacity_efficiency;scheduler_feasibility,kev_deadline_breach_rate
CAP-epss_only-cap0020,capacity_sensitivity,CLM-C2,C2,epss_only,na,0.02,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,30,monthly_18_2023_09_to_2025_02,,planned,capacity sweep at 0.02,ehd_absolute,eehda_relative;rank_churn;capacity_efficiency;scheduler_feasibility,kev_deadline_breach_rate
CAP-epss_only-cap0050,capacity_sensitivity,CLM-C2,C2,epss_only,na,0.05,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,30,monthly_18_2023_09_to_2025_02,,planned,capacity sweep at 0.05,ehd_absolute,eehda_relative;rank_churn;capacity_efficiency;scheduler_feasibility,kev_deadline_breach_rate
CAP-epss_only-cap0010,capacity_sensitivity,CLM-C2,C2,epss_only,na,0.01,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,30,monthly_18_2023_09_to_2025_02,P-epss_only-na,reused,central capacity cell reused from primary,ehd_absolute,eehda_relative;rank_churn;capacity_efficiency;scheduler_feasibility,kev_deadline_breach_rate
CAP-cvss_plus_epss_plus_kev-cap0005,capacity_sensitivity,CLM-C2,C2,cvss_plus_epss_plus_kev,na,0.005,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,30,monthly_18_2023_09_to_2025_02,,planned,capacity sweep at 0.005,ehd_absolute,eehda_relative;rank_churn;capacity_efficiency;scheduler_feasibility,kev_deadline_breach_rate
CAP-cvss_plus_epss_plus_kev-cap0020,capacity_sensitivity,CLM-C2,C2,cvss_plus_epss_plus_kev,na,0.02,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,30,monthly_18_2023_09_to_2025_02,,planned,capacity sweep at 0.02,ehd_absolute,eehda_relative;rank_churn;capacity_efficiency;scheduler_feasibility,kev_deadline_breach_rate
CAP-cvss_plus_epss_plus_kev-cap0050,capacity_sensitivity,CLM-C2,C2,cvss_plus_epss_plus_kev,na,0.05,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,30,monthly_18_2023_09_to_2025_02,,planned,capacity sweep at 0.05,ehd_absolute,eehda_relative;rank_churn;capacity_efficiency;scheduler_feasibility,kev_deadline_breach_rate
CAP-cvss_plus_epss_plus_kev-cap0010,capacity_sensitivity,CLM-C2,C2,cvss_plus_epss_plus_kev,na,0.01,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,30,monthly_18_2023_09_to_2025_02,P-cvss_plus_epss_plus_kev-na,reused,central capacity cell reused from primary,ehd_absolute,eehda_relative;rank_churn;capacity_efficiency;scheduler_feasibility,kev_deadline_breach_rate
CAP-proposed-w_paper1_placeholder-cap0005,capacity_sensitivity,CLM-C2,C2,proposed_fixed_prior,w_paper1_placeholder,0.005,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,30,monthly_18_2023_09_to_2025_02,,planned,capacity sweep at 0.005 for w_paper1_placeholder,ehd_absolute,eehda_relative;rank_churn;capacity_efficiency;scheduler_feasibility,kev_deadline_breach_rate
CAP-proposed-w_paper1_placeholder-cap0020,capacity_sensitivity,CLM-C2,C2,proposed_fixed_prior,w_paper1_placeholder,0.02,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,30,monthly_18_2023_09_to_2025_02,,planned,capacity sweep at 0.02 for w_paper1_placeholder,ehd_absolute,eehda_relative;rank_churn;capacity_efficiency;scheduler_feasibility,kev_deadline_breach_rate
CAP-proposed-w_paper1_placeholder-cap0050,capacity_sensitivity,CLM-C2,C2,proposed_fixed_prior,w_paper1_placeholder,0.05,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,30,monthly_18_2023_09_to_2025_02,,planned,capacity sweep at 0.05 for w_paper1_placeholder,ehd_absolute,eehda_relative;rank_churn;capacity_efficiency;scheduler_feasibility,kev_deadline_breach_rate
CAP-proposed-w_paper1_placeholder-cap0010,capacity_sensitivity,CLM-C2,C2,proposed_fixed_prior,w_paper1_placeholder,0.01,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,30,monthly_18_2023_09_to_2025_02,P-proposed-w_paper1_placeholder,reused,central capacity cell reused from primary,ehd_absolute,eehda_relative;rank_churn;capacity_efficiency;scheduler_feasibility,kev_deadline_breach_rate
CAP-proposed-w_epss_dominant-cap0005,capacity_sensitivity,CLM-C2,C2,proposed_fixed_prior,w_epss_dominant,0.005,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,30,monthly_18_2023_09_to_2025_02,,planned,capacity sweep at 0.005 for w_epss_dominant,ehd_absolute,eehda_relative;rank_churn;capacity_efficiency;scheduler_feasibility,kev_deadline_breach_rate
CAP-proposed-w_epss_dominant-cap0020,capacity_sensitivity,CLM-C2,C2,proposed_fixed_prior,w_epss_dominant,0.02,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,30,monthly_18_2023_09_to_2025_02,,planned,capacity sweep at 0.02 for w_epss_dominant,ehd_absolute,eehda_relative;rank_churn;capacity_efficiency;scheduler_feasibility,kev_deadline_breach_rate
CAP-proposed-w_epss_dominant-cap0050,capacity_sensitivity,CLM-C2,C2,proposed_fixed_prior,w_epss_dominant,0.05,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,30,monthly_18_2023_09_to_2025_02,,planned,capacity sweep at 0.05 for w_epss_dominant,ehd_absolute,eehda_relative;rank_churn;capacity_efficiency;scheduler_feasibility,kev_deadline_breach_rate
CAP-proposed-w_epss_dominant-cap0010,capacity_sensitivity,CLM-C2,C2,proposed_fixed_prior,w_epss_dominant,0.01,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,30,monthly_18_2023_09_to_2025_02,P-proposed-w_epss_dominant,reused,central capacity cell reused from primary,ehd_absolute,eehda_relative;rank_churn;capacity_efficiency;scheduler_feasibility,kev_deadline_breach_rate
CAP-proposed-w_context_dominant-cap0005,capacity_sensitivity,CLM-C2,C2,proposed_fixed_prior,w_context_dominant,0.005,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,30,monthly_18_2023_09_to_2025_02,,planned,capacity sweep at 0.005 for w_context_dominant,ehd_absolute,eehda_relative;rank_churn;capacity_efficiency;scheduler_feasibility,kev_deadline_breach_rate
CAP-proposed-w_context_dominant-cap0020,capacity_sensitivity,CLM-C2,C2,proposed_fixed_prior,w_context_dominant,0.02,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,30,monthly_18_2023_09_to_2025_02,,planned,capacity sweep at 0.02 for w_context_dominant,ehd_absolute,eehda_relative;rank_churn;capacity_efficiency;scheduler_feasibility,kev_deadline_breach_rate
CAP-proposed-w_context_dominant-cap0050,capacity_sensitivity,CLM-C2,C2,proposed_fixed_prior,w_context_dominant,0.05,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,30,monthly_18_2023_09_to_2025_02,,planned,capacity sweep at 0.05 for w_context_dominant,ehd_absolute,eehda_relative;rank_churn;capacity_efficiency;scheduler_feasibility,kev_deadline_breach_rate
CAP-proposed-w_context_dominant-cap0010,capacity_sensitivity,CLM-C2,C2,proposed_fixed_prior,w_context_dominant,0.01,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,30,monthly_18_2023_09_to_2025_02,P-proposed-w_context_dominant,reused,central capacity cell reused from primary,ehd_absolute,eehda_relative;rank_churn;capacity_efficiency;scheduler_feasibility,kev_deadline_breach_rate
BLK-epss_only-none,blackout_sensitivity,CLM-C3,C3,epss_only,na,0.01,none,A,label_a_kev_only,v3,cpe_exact_existing31,full,30,monthly_18_2023_09_to_2025_02,,planned,blackout sweep level none,ehd_absolute,scheduler_feasibility_rate;capacity_efficiency;rank_churn,kev_deadline_breach_rate
BLK-epss_only-light,blackout_sensitivity,CLM-C3,C3,epss_only,na,0.01,light,A,label_a_kev_only,v3,cpe_exact_existing31,full,30,monthly_18_2023_09_to_2025_02,,planned,blackout sweep level light,ehd_absolute,scheduler_feasibility_rate;capacity_efficiency;rank_churn,kev_deadline_breach_rate
BLK-epss_only-strict,blackout_sensitivity,CLM-C3,C3,epss_only,na,0.01,strict,A,label_a_kev_only,v3,cpe_exact_existing31,full,30,monthly_18_2023_09_to_2025_02,,planned,blackout sweep level strict,ehd_absolute,scheduler_feasibility_rate;capacity_efficiency;rank_churn,kev_deadline_breach_rate
BLK-epss_only-primary,blackout_sensitivity,CLM-C3,C3,epss_only,na,0.01,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,30,monthly_18_2023_09_to_2025_02,P-epss_only-na,reused,central blackout cell reused from primary,ehd_absolute,scheduler_feasibility_rate;capacity_efficiency;rank_churn,kev_deadline_breach_rate
BLK-proposed-w_paper1_placeholder-none,blackout_sensitivity,CLM-C3,C3,proposed_fixed_prior,w_paper1_placeholder,0.01,none,A,label_a_kev_only,v3,cpe_exact_existing31,full,30,monthly_18_2023_09_to_2025_02,,planned,blackout sweep level none for w_paper1_placeholder,ehd_absolute,scheduler_feasibility_rate;capacity_efficiency;rank_churn,kev_deadline_breach_rate
BLK-proposed-w_paper1_placeholder-light,blackout_sensitivity,CLM-C3,C3,proposed_fixed_prior,w_paper1_placeholder,0.01,light,A,label_a_kev_only,v3,cpe_exact_existing31,full,30,monthly_18_2023_09_to_2025_02,,planned,blackout sweep level light for w_paper1_placeholder,ehd_absolute,scheduler_feasibility_rate;capacity_efficiency;rank_churn,kev_deadline_breach_rate
BLK-proposed-w_paper1_placeholder-strict,blackout_sensitivity,CLM-C3,C3,proposed_fixed_prior,w_paper1_placeholder,0.01,strict,A,label_a_kev_only,v3,cpe_exact_existing31,full,30,monthly_18_2023_09_to_2025_02,,planned,blackout sweep level strict for w_paper1_placeholder,ehd_absolute,scheduler_feasibility_rate;capacity_efficiency;rank_churn,kev_deadline_breach_rate
BLK-proposed-w_paper1_placeholder-primary,blackout_sensitivity,CLM-C3,C3,proposed_fixed_prior,w_paper1_placeholder,0.01,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,30,monthly_18_2023_09_to_2025_02,P-proposed-w_paper1_placeholder,reused,central blackout cell reused from primary,ehd_absolute,scheduler_feasibility_rate;capacity_efficiency;rank_churn,kev_deadline_breach_rate
BLK-proposed-w_context_dominant-none,blackout_sensitivity,CLM-C3,C3,proposed_fixed_prior,w_context_dominant,0.01,none,A,label_a_kev_only,v3,cpe_exact_existing31,full,30,monthly_18_2023_09_to_2025_02,,planned,blackout sweep level none for w_context_dominant,ehd_absolute,scheduler_feasibility_rate;capacity_efficiency;rank_churn,kev_deadline_breach_rate
BLK-proposed-w_context_dominant-light,blackout_sensitivity,CLM-C3,C3,proposed_fixed_prior,w_context_dominant,0.01,light,A,label_a_kev_only,v3,cpe_exact_existing31,full,30,monthly_18_2023_09_to_2025_02,,planned,blackout sweep level light for w_context_dominant,ehd_absolute,scheduler_feasibility_rate;capacity_efficiency;rank_churn,kev_deadline_breach_rate
BLK-proposed-w_context_dominant-strict,blackout_sensitivity,CLM-C3,C3,proposed_fixed_prior,w_context_dominant,0.01,strict,A,label_a_kev_only,v3,cpe_exact_existing31,full,30,monthly_18_2023_09_to_2025_02,,planned,blackout sweep level strict for w_context_dominant,ehd_absolute,scheduler_feasibility_rate;capacity_efficiency;rank_churn,kev_deadline_breach_rate
BLK-proposed-w_context_dominant-primary,blackout_sensitivity,CLM-C3,C3,proposed_fixed_prior,w_context_dominant,0.01,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,30,monthly_18_2023_09_to_2025_02,P-proposed-w_context_dominant,reused,central blackout cell reused from primary,ehd_absolute,scheduler_feasibility_rate;capacity_efficiency;rank_churn,kev_deadline_breach_rate
ABL-w_paper1_placeholder-remove_E,feature_ablation,CLM-C4,C4,proposed_fixed_prior,w_paper1_placeholder,0.01,primary,A,label_a_kev_only,v3,cpe_exact_existing31,remove_E,30,monthly_18_2023_09_to_2025_02,,planned,ablation drop EPSS feature E from w_paper1_placeholder,ehd_absolute,rank_churn;capacity_efficiency;scheduler_feasibility_rate,kev_deadline_breach_rate
ABL-w_paper1_placeholder-remove_K,feature_ablation,CLM-C4,C4,proposed_fixed_prior,w_paper1_placeholder,0.01,primary,A,label_a_kev_only,v3,cpe_exact_existing31,remove_K,30,monthly_18_2023_09_to_2025_02,,planned,ablation drop KEV feature K from w_paper1_placeholder,ehd_absolute,rank_churn;capacity_efficiency;scheduler_feasibility_rate,kev_deadline_breach_rate
ABL-w_paper1_placeholder-remove_S,feature_ablation,CLM-C4,C4,proposed_fixed_prior,w_paper1_placeholder,0.01,primary,A,label_a_kev_only,v3,cpe_exact_existing31,remove_S,30,monthly_18_2023_09_to_2025_02,,planned,ablation drop CVSS feature S from w_paper1_placeholder,ehd_absolute,rank_churn;capacity_efficiency;scheduler_feasibility_rate,kev_deadline_breach_rate
ABL-w_paper1_placeholder-remove_C,feature_ablation,CLM-C4,C4,proposed_fixed_prior,w_paper1_placeholder,0.01,primary,A,label_a_kev_only,v3,cpe_exact_existing31,remove_C,30,monthly_18_2023_09_to_2025_02,,planned,ablation drop criticality feature C from w_paper1_placeholder,ehd_absolute,rank_churn;capacity_efficiency;scheduler_feasibility_rate,kev_deadline_breach_rate
ABL-w_paper1_placeholder-remove_X,feature_ablation,CLM-C4,C4,proposed_fixed_prior,w_paper1_placeholder,0.01,primary,A,label_a_kev_only,v3,cpe_exact_existing31,remove_X,30,monthly_18_2023_09_to_2025_02,,planned,ablation drop exposure feature X from w_paper1_placeholder,ehd_absolute,rank_churn;capacity_efficiency;scheduler_feasibility_rate,kev_deadline_breach_rate
ABL-w_paper1_placeholder-remove_R,feature_ablation,CLM-C4,C4,proposed_fixed_prior,w_paper1_placeholder,0.01,primary,A,label_a_kev_only,v3,cpe_exact_existing31,remove_R,30,monthly_18_2023_09_to_2025_02,,planned,ablation drop remediation-complexity feature R from w_paper1_placeholder,ehd_absolute,rank_churn;capacity_efficiency;scheduler_feasibility_rate,kev_deadline_breach_rate
ABL-w_paper1_placeholder-full,feature_ablation,CLM-C4,C4,proposed_fixed_prior,w_paper1_placeholder,0.01,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,30,monthly_18_2023_09_to_2025_02,P-proposed-w_paper1_placeholder,reused,full reference cell reused from primary,ehd_absolute,rank_churn;capacity_efficiency;scheduler_feasibility_rate,kev_deadline_breach_rate
ABL-w_context_dominant-remove_E,feature_ablation,CLM-C4,C4,proposed_fixed_prior,w_context_dominant,0.01,primary,A,label_a_kev_only,v3,cpe_exact_existing31,remove_E,30,monthly_18_2023_09_to_2025_02,,planned,ablation drop EPSS feature E from w_context_dominant,ehd_absolute,rank_churn;capacity_efficiency;scheduler_feasibility_rate,kev_deadline_breach_rate
ABL-w_context_dominant-remove_K,feature_ablation,CLM-C4,C4,proposed_fixed_prior,w_context_dominant,0.01,primary,A,label_a_kev_only,v3,cpe_exact_existing31,remove_K,30,monthly_18_2023_09_to_2025_02,,planned,ablation drop KEV feature K from w_context_dominant,ehd_absolute,rank_churn;capacity_efficiency;scheduler_feasibility_rate,kev_deadline_breach_rate
ABL-w_context_dominant-remove_S,feature_ablation,CLM-C4,C4,proposed_fixed_prior,w_context_dominant,0.01,primary,A,label_a_kev_only,v3,cpe_exact_existing31,remove_S,30,monthly_18_2023_09_to_2025_02,,planned,ablation drop CVSS feature S from w_context_dominant,ehd_absolute,rank_churn;capacity_efficiency;scheduler_feasibility_rate,kev_deadline_breach_rate
ABL-w_context_dominant-remove_C,feature_ablation,CLM-C4,C4,proposed_fixed_prior,w_context_dominant,0.01,primary,A,label_a_kev_only,v3,cpe_exact_existing31,remove_C,30,monthly_18_2023_09_to_2025_02,,planned,ablation drop criticality feature C from w_context_dominant,ehd_absolute,rank_churn;capacity_efficiency;scheduler_feasibility_rate,kev_deadline_breach_rate
ABL-w_context_dominant-remove_X,feature_ablation,CLM-C4,C4,proposed_fixed_prior,w_context_dominant,0.01,primary,A,label_a_kev_only,v3,cpe_exact_existing31,remove_X,30,monthly_18_2023_09_to_2025_02,,planned,ablation drop exposure feature X from w_context_dominant,ehd_absolute,rank_churn;capacity_efficiency;scheduler_feasibility_rate,kev_deadline_breach_rate
ABL-w_context_dominant-remove_R,feature_ablation,CLM-C4,C4,proposed_fixed_prior,w_context_dominant,0.01,primary,A,label_a_kev_only,v3,cpe_exact_existing31,remove_R,30,monthly_18_2023_09_to_2025_02,,planned,ablation drop remediation-complexity feature R from w_context_dominant,ehd_absolute,rank_churn;capacity_efficiency;scheduler_feasibility_rate,kev_deadline_breach_rate
ABL-w_context_dominant-full,feature_ablation,CLM-C4,C4,proposed_fixed_prior,w_context_dominant,0.01,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,30,monthly_18_2023_09_to_2025_02,P-proposed-w_context_dominant,reused,full reference cell reused from primary,ehd_absolute,rank_churn;capacity_efficiency;scheduler_feasibility_rate,kev_deadline_breach_rate
DEF-approver_B_sweep,deferred,deferred,deferred,proposed_fixed_prior+epss_only,multiple,0.01,primary,B,label_a_kev_only,v3,cpe_exact_existing31,full,30,monthly_18_2023_09_to_2025_02,,deferred,secondary approver-policy sweep; not in primary budget,ehd_absolute,scheduler_feasibility_rate,kev_deadline_breach_rate
DEF-epss_v4_era,deferred,deferred,deferred,multiple,multiple,0.01,primary,A,label_a_kev_only,v4,cpe_exact_existing31,full,30,monthly_2025_03_to_TBD,,deferred,EPSS v4 era out of scope per Step 3.9 A8; deferred until model-version-boundary work,ehd_absolute,n/a,n/a
DEF-catalog_expansion,deferred,deferred,deferred,multiple,multiple,0.01,primary,A,label_a_kev_only,v3,cpe_exact_expanded_TBD,full,30,monthly_18_2023_09_to_2025_02,,deferred,catalog expansion explicitly deferred per Step 3.9 and Step 3.10; requires F1.x supplement and a re-run of Step-3.8 probe,ehd_absolute,n/a,n/a
DEF-poc_label_b,deferred,deferred,deferred,multiple,multiple,0.01,primary,A,label_a_kev_or_poc,v3,cpe_exact_existing31,full,30,monthly_18_2023_09_to_2025_02,,deferred,Label B local PoC only if PAPER1_ENABLE_POC_FETCH=true; never redistributed; deferred,ehd_absolute,n/a,n/a
DEF-fuzzy_cpe_matching,deferred,deferred,deferred,multiple,multiple,0.01,primary,A,label_a_kev_only,v3,cpe_fuzzy_or_manual,full,30,monthly_18_2023_09_to_2025_02,,deferred,fuzzy/manual CPE matching deferred per Step 3.9 A9,ehd_absolute,n/a,n/a
DEF-seeds_50_or_100,deferred,deferred,deferred,multiple,multiple,0.01,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,50_or_100,monthly_18_2023_09_to_2025_02,,deferred,seed expansion deferred unless F8 budget grows; F4 MDE table already provides n=50 / n=100 numbers,ehd_absolute,n/a,n/a
DEF-all_pairwise_weight_comparisons,deferred,deferred,deferred,proposed_fixed_prior,all_15_pairs,0.01,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,30,monthly_18_2023_09_to_2025_02,,deferred,full C(6 2)=15 pairwise weight comparisons for CLM-C1 Holm family; primary table already supports the 6-vector deltas via primary cells (no extra runs needed) but full Holm family of 15 pairs is supported by paired analysis of primary outputs at no extra compute,ehd_absolute,n/a,n/a
DEF-gbt_or_learned_comparator,deferred,deferred,deferred,gbt_or_learned,n/a,0.01,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,30,monthly_18_2023_09_to_2025_02,,deferred,GBT or any learned comparator FORBIDDEN by K1 (calibration infeasibility); cannot be re-enabled in Paper 2 without a new pre-registration step that overrides K1,ehd_absolute,n/a,n/a
